"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","hidden_size","learning_rate","n_epochs","num_in","num_layers","num_pred","rid_of_top","RMSE","epoch","test_loss","train_loss"
"VanillaLSTM_pred12_r4_i110_n3_h256_e500_l0.00001_d0.01","crashed","LSTM training with lr=1.1156931802362521e-05, dropout=0.01","","","2025-08-02T23:53:17.000Z","135","","32","0.01","256","0.00001115693180236252","500","110","3","12","4","0.08400943406616004","6","0.007005421482619399","0.007228044082321136"
"VanillaLSTM_pred12_r4_i110_n3_h256_e500_l0.00017_d0.30","crashed","LSTM training with lr=0.0001738566055919949, dropout=0.3","","","2025-08-03T00:10:44.000Z","256","","32","0.3","256","0.0001738566055919949","500","110","3","12","4","0.08407823105869784","18","0.007104340769437226","0.003943381858892023"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00055_d0.01","crashed","LSTM training with lr=0.0005534787909893233, dropout=0.01","","","2025-08-03T00:32:37.000Z","105","","32","0.01","32","0.0005534787909893233","500","110","4","12","4","0.08414229734518806","22","0.0062810950332722725","0.00332185488623719"
"VanillaLSTM_pred12_r4_i110_n3_h256_e500_l0.00091_d0.10","crashed","LSTM training with lr=0.0009097951860516953, dropout=0.1","","","2025-08-02T23:13:18.000Z","46","","128","0.1","256","0.0009097951860516952","500","110","3","12","4","0.08415269423232144","6","0.005928761507766467","0.005163643706315385"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00033_d0.30","crashed","LSTM training with lr=0.00032644390608896004, dropout=0.3","","","2025-08-02T23:31:48.000Z","90","","32","0.3","32","0.00032644390608896004","500","110","4","12","4","0.08463394369485143","15","0.00614556917743384","0.00471185393327971"
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00061_d0.00","crashed","LSTM training with lr=0.0006148389159756404, dropout=0","","","2025-08-03T00:34:45.000Z","90","","32","0","32","0.0006148389159756404","500","110","2","12","4","0.08486823907382171","19","0.006507944596143586","0.003306713116863632"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00045_d0.01","crashed","LSTM training with lr=0.00045085059205176887, dropout=0.01","","","2025-08-03T00:29:44.000Z","105","","32","0.01","32","0.00045085059205176887","500","110","4","12","4","0.08488855810876612","23","0.006078476383698193","0.003937859009114239"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00036_d0.30","crashed","LSTM training with lr=0.0003592061385223473, dropout=0.3","","","2025-08-03T00:38:07.000Z","45","","32","0.3","32","0.0003592061385223473","500","110","4","12","4","0.08491147010647344","6","0.006317758950373846","0.005773081958147218"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00039_d0.30","crashed","LSTM training with lr=0.000392384808649491, dropout=0.3","","","2025-08-03T00:19:55.000Z","90","","32","0.3","32","0.000392384808649491","500","110","4","12","4","0.08536976011929397","15","0.00654163521691468","0.004667245996143599"
"VanillaLSTM_pred12_r4_i110_n3_h256_e500_l0.00018_d0.30","crashed","LSTM training with lr=0.00017766882467183862, dropout=0.3","","","2025-08-03T00:15:23.000Z","330","","32","0.3","256","0.00017766882467183862","500","110","3","12","4","0.08542257650436483","19","0.006056867304150843","0.003606202267455219"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00022_d0.30","crashed","LSTM training with lr=0.0002184038918901762, dropout=0.3","","","2025-08-03T00:37:12.000Z","46","","32","0.3","32","0.0002184038918901762","500","110","4","12","4","0.08552865266544844","6","0.005916922676596751","0.006037000248681705"
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00050_d0.00","crashed","LSTM training with lr=0.0005032588920181323, dropout=0","","","2025-08-03T00:02:42.000Z","76","","32","0","32","0.0005032588920181323","500","110","2","12","4","0.08576715005746155","18","0.006523435870527648","0.0035720041485683657"
"VanillaLSTM_pred12_r4_i110_n4_h128_e500_l0.00054_d0.40","crashed","LSTM training with lr=0.0005406811193804535, dropout=0.4","","","2025-08-02T23:46:33.000Z","60","","32","0.4","128","0.0005406811193804535","500","110","4","12","4","0.08588372541835661","4","0.005549300133428577","0.005598556194144888"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00037_d0.10","crashed","LSTM training with lr=0.0003668796154261711, dropout=0.1","","","2025-08-03T01:13:46.000Z","90","","32","0.1","32","0.0003668796154261711","500","110","4","12","4","0.08590022806704542","15","0.006111478403051444","0.004314730312379825"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00059_d0.00","crashed","LSTM training with lr=0.0005893484754184384, dropout=0","","","2025-08-03T01:09:30.000Z","46","","64","0","32","0.0005893484754184384","500","110","4","12","4","0.08601894982785727","12","0.005738056085716044","0.004805763946365662"
"VanillaLSTM_pred12_r4_i110_n4_h64_e500_l0.00002_d0.10","crashed","LSTM training with lr=2.4110054492524365e-05, dropout=0.1","","","2025-08-02T23:50:53.000Z","45","","32","0.1","64","0.000024110054492524365","500","110","4","12","4","0.08603836817624184","7","0.006719932087043726","0.006987432718937786"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00063_d0.00","crashed","LSTM training with lr=0.0006329738919952438, dropout=0","","","2025-08-03T00:57:35.000Z","90","","32","0","32","0.0006329738919952438","500","110","4","12","4","0.08603937404725472","15","0.006506915118024525","0.004469617776474458"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00029_d0.50","crashed","LSTM training with lr=0.00028684467600562286, dropout=0.5","","","2025-08-03T00:23:56.000Z","45","","32","0.5","32","0.00028684467600562286","500","110","4","12","4","0.08642683941065063","6","0.006093567285773935","0.006138522656213201"
"VanillaLSTM_pred12_r4_i110_n3_h256_e500_l0.00001_d0.01","crashed","LSTM training with lr=1.2122202258439225e-05, dropout=0.01","","","2025-08-02T23:54:42.000Z","136","","32","0.01","256","0.000012122202258439225","500","110","3","12","4","0.08644451085683683","7","0.006562237154682833","0.006686073913631929"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00077_d0.00","crashed","LSTM training with lr=0.0007728376692777499, dropout=0","","","2025-08-03T01:02:48.000Z","60","","64","0","32","0.0007728376692777499","500","110","4","12","4","0.0871934084974634","13","0.005645641069105379","0.004766268950901828"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00066_d0.30","crashed","LSTM training with lr=0.0006558450157991857, dropout=0.3","","","2025-08-02T23:27:09.000Z","91","","32","0.3","32","0.0006558450157991857","500","110","4","12","4","0.0873197663577913","15","0.005617985344097677","0.004166698016830575"
"VanillaLSTM_pred12_r4_i110_n4_h64_e500_l0.00025_d0.30","crashed","LSTM training with lr=0.00025069798854076035, dropout=0.3","","","2025-08-03T00:06:23.000Z","45","","32","0.3","64","0.00025069798854076035","500","110","4","12","4","0.08767566967313947","6","0.006208492406683576","0.0055809814077156"
"VanillaLSTM_pred12_r4_i110_n4_h256_e500_l0.00098_d0.00","crashed","LSTM training with lr=0.0009829115190192706, dropout=0","","","2025-08-03T01:07:22.000Z","91","","64","0","256","0.0009829115190192706","500","110","4","12","4","0.08777447984954925","6","0.005828767424225421","0.004856775444461238"
"VanillaLSTM_pred12_r4_i110_n4_h256_e500_l0.00002_d0.20","crashed","LSTM training with lr=1.884477415306006e-05, dropout=0.2","","","2025-08-02T23:12:03.000Z","60","","128","0.2","256","0.00001884477415306006","500","110","4","12","4","0.08827364973415189","4","0.008135105033337217","0.008399086032665705"
"VanillaLSTM_pred12_r4_i110_n2_h128_e500_l0.00015_d0.30","crashed","LSTM training with lr=0.0001494206143364177, dropout=0.3","","","2025-08-02T23:16:01.000Z","75","","32","0.3","128","0.0001494206143364177","500","110","2","12","4","0.0885500570365405","17","0.006616456690604337","0.004276326463469963"
"VanillaLSTM_pred12_r4_i110_n4_h256_e500_l0.00020_d0.50","crashed","LSTM training with lr=0.00020016990689989873, dropout=0.5","","","2025-08-02T23:39:21.000Z","151","","32","0.5","256","0.00020016990689989873","500","110","4","12","4","0.08873781661515592","7","0.007180420779626008","0.005270125898377798"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00002_d0.30","crashed","LSTM training with lr=2.0193487129648706e-05, dropout=0.3","","","2025-08-02T23:49:59.000Z","46","","32","0.3","32","0.000020193487129648703","500","110","4","12","4","0.08880404342672399","7","0.007485427829488657","0.009309834244996148"
"VanillaLSTM_pred12_r4_i110_n4_h64_e500_l0.00030_d0.50","crashed","LSTM training with lr=0.00030228139784439073, dropout=0.5","","","2025-08-03T00:49:51.000Z","90","","32","0.5","64","0.00030228139784439073","500","110","4","12","4","0.08901334557185599","14","0.005516574814302412","0.004711220977875684"
